Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Aaron Cresswell,ENG,DF,West Ham,34,824,0,0,3,0,0.2,1.3,6,36,4,0.0,0.0,0.03,0.15,0.0,0.0,0.0,23.8,504,82.6,9299,92.0,88.0,54.2,9,52,5,2,N/A,N/A,N/A,11,7,11,2,9,4,5,8,687,45,270,328,94,2,50.0,50.0,291,526,8,0,4,0,437,4,2,0,36,36,7,7,50.0
Aaron Ramsdale,ENG,GK,Southampton,26,2700,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,774,63.3,21949,99.5,96.5,37.5,0,36,1,0,2.2,67.6,10.0,0,0,3,3,0,0,0,2,1314,946,1286,32,0,0,N/A,N/A,786,2349,0,0,3,0,702,1,4,0,0,23,6,0,100.0
Aaron Wan-Bissaka,COD,DF,West Ham,26,3154,2,5,1,0,1.2,3.5,110,149,167,0.06,0.14,0.03,0.1,31.3,0.14,0.13,15.1,1472,81.1,20696,90.2,81.6,45.7,33,94,35,11,N/A,N/A,N/A,70,49,32,9,37,11,26,66,2256,147,682,969,637,48,52.5,35.2,1092,3661,65,15,35,22,1322,25,27,5,76,174,22,33,40.0
Abdoulaye Doucouré,MLI,MF,Everton,31,2564,3,2,5,1,4.1,2.4,42,82,96,0.11,0.07,0.15,0.09,29.0,0.32,0.1,14.0,725,80.3,10909,85.7,83.2,73.3,28,44,15,0,N/A,N/A,N/A,48,28,43,29,31,6,25,10,1161,32,225,538,413,65,53.3,46.7,604,1396,26,8,38,38,750,49,5,10,23,150,30,44,40.5
Abdukodir Khusanov,UZB,DF,Manchester City,20,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,N/A,N/A,N/A,5,4,3,1,5,4,1,3,445,45,205,211,31,1,0.0,100.0,274,435,1,0,2,1,332,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,38.5,0.78,0.0,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,N/A,N/A,N/A,21,15,19,8,7,0,7,4,326,19,73,114,157,26,42.0,40.6,217,1055,24,15,18,12,216,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,"FW,MF",Southampton,27,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,N/A,N/A,N/A,12,3,14,11,6,1,5,3,377,11,44,143,192,49,42.9,57.1,235,599,13,6,11,18,286,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,MF,Southampton,36,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,0.0,0.0,0.0,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,N/A,N/A,N/A,8,5,12,10,4,1,3,5,318,19,91,155,73,6,41.7,41.7,178,366,8,0,10,6,245,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,DF,Bournemouth,33,1590,0,0,7,0,0.7,0.4,15,49,34,0.0,0.0,0.04,0.02,0.0,0.0,0.0,16.9,514,75.7,8452,88.7,79.6,36.0,8,49,10,5,N/A,N/A,N/A,24,12,27,13,13,5,8,15,825,41,240,394,197,8,37.5,43.8,366,711,18,1,13,7,403,19,12,0,33,50,14,15,48.3
Adam Webster,ENG,DF,Brighton,29,887,0,0,1,0,0.2,0.5,8,63,2,0.0,0.0,0.03,0.05,20.0,0.1,0.0,10.8,636,87.7,11765,94.2,94.1,54.6,3,64,2,0,N/A,N/A,N/A,10,6,14,8,16,9,7,20,824,119,389,399,43,15,33.3,66.7,476,1475,6,0,5,1,552,7,2,1,2,35,24,6,80.0
Adam Wharton,ENG,MF,Crystal Palace,20,1318,0,2,2,0,0.4,3.0,14,107,11,0.0,0.14,0.03,0.21,38.5,0.34,0.0,25.4,548,75.6,10271,82.5,80.1,65.4,26,78,18,5,N/A,N/A,N/A,34,14,44,27,11,2,9,20,872,30,204,463,212,11,20.0,80.0,430,1078,23,2,17,13,533,12,21,0,39,102,7,16,30.4
Adama Traoré,ESP,"FW,MF",Fulham,28,1772,2,7,3,0,4.0,4.9,100,68,161,0.1,0.36,0.2,0.25,30.8,0.61,0.05,14.2,424,72.2,6645,82.5,73.7,55.6,42,36,38,22,N/A,N/A,N/A,20,13,13,8,7,0,7,1,801,4,83,285,455,91,49.5,37.1,538,2486,45,33,37,25,607,24,32,1,100,87,25,26,49.0
Albert Grønbaek,DEN,"FW,MF",Southampton,23,143,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,0.0,0.0,0.0,22.4,13,72.2,135,81.8,50.0,N/A,1,2,0,0,N/A,N/A,N/A,4,1,10,7,1,1,0,0,38,2,9,14,15,2,0.0,100.0,18,15,0,1,5,4,21,0,1,0,1,6,2,0,100.0
Alejandro Garnacho,ARG,"MF,FW",Manchester Utd,20,2199,6,2,3,0,7.3,4.5,141,56,290,0.25,0.08,0.3,0.19,34.5,1.19,0.07,17.0,649,78.9,9138,88.4,82.1,59.6,37,22,25,5,N/A,N/A,N/A,30,18,37,25,19,0,19,13,1159,13,130,364,683,176,29.2,61.8,840,3245,72,67,64,48,888,12,43,10,56,108,3,24,11.1
Alex Iwobi,NGA,"FW,MF",Fulham,28,2981,9,6,1,0,4.7,7.0,144,213,246,0.27,0.18,0.14,0.21,42.6,0.88,0.13,18.3,1150,75.1,19530,86.7,78.0,53.3,59,115,86,19,N/A,N/A,N/A,44,25,34,12,26,1,25,14,1861,33,244,748,895,116,49.5,43.3,1312,4367,105,37,62,40,1447,19,18,5,126,140,7,31,18.4
Alex McCarthy,ENG,GK,Southampton,34,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,117,75.0,2823,95.3,91.8,49.2,0,5,0,0,2.6,70.3,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,N/A,N/A,100,276,0,0,0,0,88,0,1,0,0,4,2,0,100.0
Alex Palmer,ENG,GK,Ipswich Town,27,1170,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,299,70.7,8545,96.8,100.0,44.0,1,8,0,0,2.31,59.2,0.0,0,0,0,0,0,0,0,0,470,396,461,10,0,0,N/A,N/A,210,750,0,0,2,0,170,1,4,0,0,17,5,0,100.0
Alex Scott,ENG,MF,Bournemouth,20,755,0,0,3,0,0.7,0.9,15,52,33,0.0,0.0,0.09,0.11,40.0,0.72,0.0,21.1,286,83.6,4583,89.3,92.6,57.1,12,41,5,1,N/A,N/A,N/A,27,14,42,23,17,4,13,10,485,24,90,257,144,18,23.1,50.0,247,663,10,3,23,8,294,17,26,0,7,52,7,7,50.0
Alexander Isak,SWE,FW,Newcastle Utd,24,2756,23,6,1,0,20.3,4.3,83,88,217,0.75,0.2,0.66,0.14,43.2,1.34,0.2,14.5,519,75.3,7434,84.1,78.7,61.9,41,35,31,1,N/A,N/A,N/A,12,5,15,10,18,2,16,3,1025,20,57,386,596,189,46.2,51.6,615,1861,42,43,66,55,740,27,14,20,16,55,26,55,32.1
