Team,Median of Age,Mean of Age,Std of Age,Median of Standard_Min,Mean of Standard_Min,Std of Standard_Min,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
all,25.00,25.58,4.31,1409.00,1506.10,1000.58,1.00,2.17,3.73,1.00,1.62,2.36,2.00,3.19,2.81,0.00,0.10,0.32,1.00,2.21,3.33,0.90,1.63,2.03,16.00,28.59,33.52,42.00,56.37,54.48,27.00,55.70,70.16,0.04,0.12,0.17,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.10,0.10,30.00,30.35,19.84,0.23,0.41,0.47,0.06,0.08,0.11,16.40,16.58,5.04,494.50,604.33,499.05,80.30,79.34,8.27,8324.00,10392.68,9047.47,89.85,88.94,6.66,85.65,84.22,9.88,53.90,53.83,16.04,9.00,14.85,16.63,30.00,47.08,49.02,7.00,12.72,15.71,1.00,3.03,4.72,1.51,1.66,0.65,68.00,67.19,8.63,20.00,24.93,22.08,19.50,26.79,24.52,11.00,15.99,15.11,19.00,24.37,22.06,9.00,11.90,11.20,13.00,16.60,14.68,3.00,5.65,7.87,9.00,10.96,10.02,8.00,12.09,12.66,809.50,913.37,677.92,35.00,103.81,192.35,170.50,303.07,335.35,300.00,387.54,343.17,155.50,231.77,229.69,22.00,37.87,45.00,44.80,46.06,22.18,44.15,43.22,21.14,444.00,512.72,390.85,1123.00,1428.36,1201.63,13.00,19.14,19.92,2.00,8.83,15.68,14.00,20.92,21.27,8.00,14.30,15.92,536.00,597.91,458.00,13.00,16.82,14.95,11.00,16.32,16.00,1.00,2.54,4.26,10.00,26.79,39.00,49.00,63.30,50.49,11.00,19.79,23.25,14.00,19.74,20.42,50.00,48.77,21.69
Arsenal,25.50,25.27,3.82,1657.50,1698.91,941.38,2.50,3.05,2.90,2.00,2.50,2.94,3.50,3.18,1.92,0.00,0.27,0.55,1.85,2.82,2.86,1.05,2.12,2.36,25.00,38.73,35.59,60.00,82.95,65.22,52.50,81.86,83.65,0.12,0.17,0.16,0.11,0.13,0.14,0.11,0.16,0.14,0.10,0.12,0.12,33.30,30.04,15.10,0.32,0.43,0.40,0.15,0.15,0.13,15.10,14.86,4.91,566.00,775.59,576.01,83.60,82.64,6.27,8790.50,12671.18,10245.33,91.60,91.02,4.58,86.75,85.33,7.82,53.60,55.53,9.98,11.50,19.45,19.45,44.50,63.50,55.21,10.50,19.86,19.73,2.00,3.41,4.09,0.89,0.89,nan,74.20,74.20,nan,34.20,34.20,nan,22.00,27.14,21.88,14.00,15.82,13.39,22.00,23.36,16.01,11.00,11.55,8.20,12.50,14.91,11.37,1.50,4.82,7.01,8.00,10.09,8.15,6.50,10.23,8.92,875.50,1093.00,692.70,29.00,83.77,185.79,137.50,275.41,356.29,317.00,470.91,404.46,251.50,354.77,255.80,39.00,58.18,54.70,45.45,48.71,21.18,40.55,38.81,17.51,509.00,646.91,424.92,1496.00,1828.95,1203.77,19.50,24.55,20.35,5.50,13.00,16.91,16.00,21.95,17.21,13.50,17.36,15.16,615.50,767.77,506.27,15.00,18.18,12.09,17.00,18.36,13.51,2.00,3.64,3.75,13.00,34.82,45.03,54.00,65.27,43.71,12.50,21.41,20.13,16.00,21.14,18.73,51.35,47.84,18.56
Aston Villa,26.00,25.96,4.11,1139.00,1410.81,1025.01,1.00,2.15,3.51,0.00,1.73,2.76,2.00,2.69,2.48,0.00,0.12,0.33,1.10,2.19,3.16,0.65,1.59,2.14,22.50,27.04,25.37,38.00,50.92,51.07,29.00,50.35,56.85,0.06,0.18,0.28,0.00,0.09,0.12,0.08,0.19,0.24,0.05,0.09,0.10,30.00,32.38,20.79,0.21,0.49,0.66,0.06,0.08,0.08,17.00,16.78,4.61,515.50,553.65,459.18,81.80,80.61,7.80,8140.00,9527.19,8595.88,91.35,89.99,5.51,85.75,85.92,8.16,53.25,52.98,14.89,9.50,13.62,15.74,25.50,43.15,49.69,8.50,12.04,13.67,0.00,2.15,4.03,1.83,1.83,0.79,66.65,66.65,3.32,60.80,60.80,55.44,12.00,23.77,22.47,7.00,13.92,13.64,12.50,20.50,20.62,6.00,8.85,8.83,12.00,12.31,9.72,3.00,4.08,4.52,6.00,8.23,6.85,6.50,8.92,9.17,728.50,816.15,613.19,37.00,100.38,213.82,155.00,274.77,329.39,273.50,347.12,324.62,131.50,202.58,182.15,24.00,35.81,41.17,47.40,50.36,23.54,38.90,39.13,22.45,451.50,463.54,343.79,1227.00,1360.85,1064.52,14.50,16.73,14.41,2.00,7.81,11.31,10.50,19.15,24.35,8.50,14.65,17.00,542.00,542.96,411.84,11.00,15.04,14.52,11.00,18.81,19.25,1.00,2.00,3.43,6.00,23.04,36.06,43.00,53.15,39.73,10.50,14.23,13.39,11.00,15.85,16.45,50.00,41.62,23.70
Bournemouth,25.00,25.04,4.05,1764.50,1558.25,1112.10,1.00,2.38,3.70,1.00,1.71,2.01,3.00,4.04,3.21,0.00,0.12,0.34,1.10,2.73,3.70,1.05,1.84,1.90,17.00,31.29,36.64,46.00,61.71,56.49,27.50,61.12,77.59,0.04,0.16,0.21,0.06,0.09,0.11,0.08,0.20,0.23,0.10,0.13,0.15,29.80,25.97,16.16,0.31,0.58,0.66,0.07,0.07,0.06,16.30,15.71,4.31,440.50,537.92,455.63,75.55,74.48,6.58,7088.50,9701.92,8769.54,88.45,87.35,6.93,79.55,81.01,11.43,48.50,46.88,17.67,12.00,18.21,17.01,31.50,51.42,53.65,7.00,14.12,14.84,2.00,4.42,6.30,1.00,1.09,0.15,80.00,79.50,5.37,20.00,15.27,13.54,23.50,28.62,24.59,11.50,16.46,14.95,24.50,25.96,22.19,13.50,13.54,11.02,16.00,18.96,17.78,2.50,5.62,7.32,10.00,13.33,13.55,9.50,14.50,16.18,857.00,896.50,692.92,43.50,92.29,164.81,147.00,267.46,306.33,286.50,385.96,354.71,144.50,254.21,260.39,19.00,41.83,51.44,42.25,42.99,20.91,44.80,44.83,21.83,429.00,486.38,382.13,1281.00,1524.46,1421.98,18.00,22.25,21.98,2.00,9.46,16.30,18.50,24.79,22.61,7.50,14.58,18.08,444.50,533.04,417.11,18.00,21.88,19.55,10.00,16.50,15.34,0.50,2.92,5.45,10.00,34.54,44.66,61.50,75.50,60.59,17.00,23.83,22.68,20.00,25.21,21.71,48.30,49.24,19.03
Brentford,24.00,25.09,3.83,1681.50,1702.36,1238.94,0.00,2.95,5.91,1.50,2.00,2.56,2.00,2.82,2.30,0.00,0.05,0.21,0.90,2.75,4.63,1.20,1.95,2.34,13.00,27.09,35.33,53.50,61.41,59.98,27.50,60.73,84.38,0.00,0.11,0.19,0.08,0.09,0.09,0.07,0.12,0.16,0.08,0.09,0.08,34.30,30.78,17.91,0.16,0.30,0.39,0.05,0.08,0.09,15.35,15.78,4.34,477.00,604.23,484.81,76.80,76.55,7.90,7396.50,11106.45,10179.76,87.75,86.46,8.10,80.75,82.39,9.45,52.75,52.01,17.16,8.50,15.00,18.60,44.00,50.00,44.27,7.00,14.73,20.13,2.00,4.14,5.94,1.38,1.38,0.19,61.70,61.70,16.55,59.45,59.45,57.35,24.00,28.41,23.98,15.00,16.95,13.76,25.50,26.91,23.32,10.50,12.77,11.81,18.00,21.73,20.19,4.00,9.05,13.89,12.00,12.68,10.58,8.00,12.95,12.98,904.00,971.86,731.47,51.00,149.00,305.94,240.00,377.05,447.03,318.00,363.91,304.93,168.50,240.09,256.18,23.00,44.82,52.52,47.45,44.98,21.05,42.60,44.86,15.89,477.00,516.73,399.24,1229.00,1435.05,1254.36,11.50,17.23,20.80,1.00,9.59,18.97,14.00,24.68,28.81,7.50,13.41,15.06,571.00,595.00,452.01,10.50,14.27,12.11,10.00,15.36,15.49,1.00,2.86,4.40,12.00,30.64,50.20,49.00,74.41,61.13,11.00,28.14,33.81,12.50,25.36,27.16,54.50,54.66,19.66
Brighton,23.00,24.75,5.13,1056.00,1339.64,946.35,1.00,2.29,3.17,1.00,1.46,1.71,2.00,2.79,2.63,0.00,0.11,0.31,0.95,2.12,2.81,1.05,1.44,1.47,20.50,29.07,32.51,47.50,54.61,52.60,28.00,54.14,68.04,0.10,0.14,0.15,0.03,0.09,0.12,0.10,0.14,0.12,0.08,0.10,0.08,28.60,28.60,16.05,0.36,0.48,0.65,0.07,0.09,0.09,16.95,17.29,4.10,382.50,563.04,517.02,80.80,79.44,8.22,5349.50,9574.32,9827.68,90.05,89.51,5.98,82.10,81.45,10.57,54.90,54.27,14.87,11.50,13.36,11.02,25.00,42.29,51.78,9.00,12.07,11.46,1.50,3.07,3.87,1.06,1.06,0.78,70.35,70.35,6.58,34.70,34.70,21.64,17.00,25.11,22.29,11.50,15.36,13.64,19.50,24.93,20.60,9.50,12.46,9.60,14.00,15.64,13.07,2.50,4.36,5.77,10.00,11.29,10.42,8.50,11.25,11.14,771.00,842.79,663.82,25.00,92.71,210.92,124.50,267.32,349.09,239.00,365.96,350.58,179.00,219.14,191.95,20.50,38.61,45.51,43.30,46.13,21.71,46.70,45.72,20.91,462.00,495.36,414.46,1244.50,1484.54,1512.42,19.00,20.46,19.98,3.00,9.36,16.70,13.00,20.79,20.16,7.00,12.29,13.18,522.00,556.46,453.21,12.00,15.64,13.08,10.00,14.68,15.01,1.00,1.64,2.02,12.50,25.07,30.14,46.50,57.86,47.99,13.00,18.43,19.36,11.50,16.46,15.16,53.80,49.94,20.25
Chelsea,23.00,23.00,2.30,1117.50,1441.62,1125.15,1.00,2.35,3.67,1.00,1.81,2.30,2.50,3.88,3.41,0.00,0.08,0.27,0.80,2.67,4.28,1.05,2.06,2.66,11.50,33.12,44.21,34.50,61.31,67.47,12.00,60.50,81.72,0.06,0.13,0.15,0.07,0.12,0.13,0.08,0.15,0.17,0.08,0.14,0.15,28.80,29.47,21.74,0.25,0.43,0.46,0.08,0.09,0.12,15.00,15.16,4.63,569.50,692.88,627.23,84.45,83.82,6.66,8318.50,11961.04,11241.94,92.10,91.00,5.68,90.70,88.58,7.25,56.80,56.54,18.14,6.50,17.54,23.08,29.00,57.15,62.35,4.00,13.31,17.95,0.00,2.81,5.66,1.28,1.28,0.31,73.90,73.90,3.54,24.00,24.00,10.32,12.50,22.58,26.32,8.50,14.23,16.73,11.50,20.58,24.06,5.50,10.12,12.64,9.00,13.69,15.16,1.50,3.96,5.94,5.50,9.73,11.30,8.00,10.46,11.73,853.50,968.62,825.91,22.50,92.65,199.06,127.50,290.77,362.74,293.00,437.04,442.66,98.00,249.23,281.07,13.00,42.73,54.74,45.20,45.11,18.51,40.95,41.08,21.25,456.00,556.96,449.85,1069.00,1591.58,1306.19,10.50,18.92,21.24,1.00,12.19,22.93,6.50,17.85,21.60,7.00,11.38,12.63,590.50,687.23,574.50,8.50,16.77,17.82,11.00,17.08,18.21,1.00,2.50,4.67,3.00,25.50,44.04,42.00,60.50,56.47,11.00,15.42,17.89,10.00,14.96,15.58,42.10,46.49,24.72
Crystal Palace,26.00,25.70,3.56,2015.00,1801.20,1175.83,1.00,2.25,3.71,1.00,1.90,2.34,2.50,3.80,3.47,0.00,0.20,0.41,1.10,2.95,4.07,1.65,2.32,2.48,13.50,24.30,25.32,58.50,55.25,42.30,14.50,55.95,69.85,0.04,0.14,0.19,0.07,0.11,0.15,0.08,0.14,0.15,0.12,0.13,0.09,37.50,34.80,24.81,0.33,0.54,0.52,0.05,0.11,0.22,16.65,17.18,6.61,575.50,566.95,424.29,75.65,75.10,5.95,10021.50,10141.30,8217.32,85.55,85.15,5.54,81.00,81.16,8.32,46.25,48.98,12.77,11.50,18.55,17.66,31.00,41.95,34.00,8.00,13.35,13.70,2.00,3.35,4.70,1.34,1.34,nan,66.70,66.70,nan,28.90,28.90,nan,28.00,36.55,32.10,13.00,21.45,20.16,30.50,30.55,23.80,15.50,15.20,11.09,20.50,23.20,19.82,3.00,6.70,7.71,16.00,16.50,14.10,11.00,15.60,15.97,1014.00,973.55,674.13,28.00,123.90,243.12,198.50,365.25,404.53,425.50,400.35,292.56,173.00,217.30,200.70,23.50,38.30,40.33,37.50,41.44,22.02,47.80,49.43,23.33,501.00,490.80,339.29,1089.00,1204.05,855.88,14.00,17.05,15.77,1.50,6.00,8.30,16.50,24.00,22.46,15.00,16.30,15.26,590.00,562.45,379.44,13.50,19.75,18.17,20.00,19.40,16.82,1.00,3.55,5.88,12.50,29.55,35.26,78.50,80.70,59.42,15.00,24.05,23.88,19.50,30.20,28.42,42.90,42.69,18.40
Everton,25.50,26.73,5.00,1582.50,1700.23,960.54,1.00,1.77,2.51,1.00,1.23,1.48,4.00,3.64,2.36,0.00,0.09,0.29,1.10,1.92,2.34,1.30,1.49,1.32,15.00,22.05,22.24,46.00,47.23,37.56,26.50,46.18,43.52,0.04,0.10,0.13,0.05,0.08,0.11,0.04,0.11,0.13,0.07,0.08,0.08,35.70,32.95,22.23,0.27,0.38,0.41,0.06,0.09,0.10,17.10,16.99,5.22,449.00,517.23,363.76,75.05,75.19,7.96,7775.00,9751.82,8379.60,87.10,85.66,7.67,83.00,80.65,11.85,59.10,57.77,14.00,12.50,13.50,10.86,40.50,45.36,38.06,8.00,11.86,10.97,2.00,4.18,5.99,1.16,1.16,nan,73.00,73.00,nan,31.60,31.60,nan,27.50,33.05,30.38,15.50,19.45,18.37,24.00,29.55,24.57,8.50,14.36,12.43,14.50,17.77,14.52,3.50,6.27,9.45,10.00,11.50,9.20,11.00,15.64,14.26,824.00,878.82,545.55,34.00,111.55,238.60,188.00,314.00,386.82,331.50,358.77,257.35,199.50,215.50,155.25,21.50,33.05,28.31,47.60,46.07,17.86,44.80,46.32,17.67,417.00,431.64,266.51,874.00,1150.95,881.28,13.00,16.45,12.40,2.00,5.41,7.68,15.00,23.64,22.27,12.50,17.55,15.37,495.50,512.18,295.67,15.00,19.41,14.49,16.00,17.32,14.07,1.00,3.59,6.48,9.00,30.91,40.28,61.00,68.91,49.93,12.50,27.82,31.77,18.00,25.32,25.51,49.85,48.79,19.84
Fulham,27.00,27.09,3.90,1772.00,1632.35,1057.45,0.00,2.30,3.50,1.00,1.91,2.63,3.00,3.48,3.09,0.00,0.09,0.29,1.00,2.17,2.79,1.00,1.63,1.89,22.00,34.04,38.03,62.00,67.61,52.92,33.00,66.74,75.77,0.00,0.15,0.22,0.08,0.09,0.11,0.11,0.15,0.14,0.09,0.11,0.09,31.55,29.42,18.62,0.16,0.52,0.58,0.03,0.07,0.09,15.35,15.95,4.16,663.00,703.74,547.31,81.80,80.70,7.74,12139.00,12577.39,10738.29,91.10,89.03,6.40,85.20,84.83,8.30,56.50,59.46,14.05,11.00,17.26,17.56,43.00,58.52,52.54,7.00,14.78,20.17,2.00,4.70,7.79,1.42,1.42,nan,67.90,67.90,nan,13.20,13.20,nan,26.00,29.52,23.72,13.00,17.87,15.18,20.00,24.52,21.64,9.00,11.96,11.91,15.00,16.52,12.73,2.00,4.91,6.73,11.00,11.61,8.94,8.00,13.09,14.91,999.00,1038.87,745.37,33.00,114.83,252.11,166.00,351.87,426.79,381.00,425.09,346.95,217.00,272.48,239.83,32.00,41.09,40.19,45.60,44.50,18.29,41.35,37.48,14.86,547.00,608.74,452.36,1216.00,1667.04,1414.04,18.00,23.65,23.92,4.00,9.13,11.17,17.00,22.35,20.22,8.00,12.22,12.33,665.00,696.61,499.61,18.00,18.70,15.38,16.00,15.52,11.79,1.00,1.87,3.40,16.00,38.83,52.30,57.00,69.96,49.31,13.00,23.17,25.28,22.00,23.09,22.33,47.90,44.43,19.86
