Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Aaron Cresswell,West Ham,DF,34,0,0,0.2,1.3,8.7696,EUR 8.8M
Aaron Ramsdale,Southampton,GK,26,0,0,0.0,0.0,6.6000000000000005,EUR 6.6M
Aaron Wan-Bissaka,West Ham,DF,26,2,5,1.2,3.5,12.270719999999999,EUR 12.3M
Abdoulaye Doucouré,Everton,MF,31,3,2,4.1,2.4,13.513499999999999,EUR 13.5M
Abdukodir Khusanov,Manchester City,DF,20,0,0,0.0,0.1,12.011999999999999,EUR 12.0M
Abdul Fatawu Issahaku,Leicester City,FW,20,0,2,0.4,1.6,23.625,EUR 23.6M
Adam Armstrong,Southampton,"FW,MF",27,2,2,3.3,1.2,21.57525,EUR 21.6M
Adam Lallana,Southampton,MF,36,0,2,0.2,0.9,10.618199999999998,EUR 10.6M
Adam Smith,Bournemouth,DF,33,0,0,0.7,0.4,8.977679999999998,EUR 9.0M
Adam Webster,Brighton,DF,29,0,0,0.2,0.5,9.908879999999998,EUR 9.9M
Adam Wharton,Crystal Palace,MF,20,0,2,0.4,3.0,15.96,EUR 16.0M
Adama Traoré,Fulham,"FW,MF",28,2,7,4.0,4.9,23.322599999999998,EUR 23.3M
Albert Grønbaek,Southampton,"FW,MF",23,0,0,0.1,0.0,21.171149999999997,EUR 21.2M
Alejandro Garnacho,Manchester Utd,"MF,FW",20,6,2,7.3,4.5,28.53,EUR 28.5M
Alex Iwobi,Fulham,"FW,MF",28,9,6,4.7,7.0,26.214299999999998,EUR 26.2M
Alex McCarthy,Southampton,GK,34,0,0,0.0,0.0,5.4,EUR 5.4M
Alex Palmer,Ipswich Town,GK,27,0,0,0.0,0.0,6.45,EUR 6.5M
Alex Scott,Bournemouth,MF,20,0,0,0.7,0.9,15.24,EUR 15.2M
Alexander Isak,Newcastle Utd,FW,24,23,6,20.3,4.3,37.1772,EUR 37.2M
Alexis Mac Allister,Liverpool,MF,25,5,5,2.8,4.7,16.875,EUR 16.9M
Ali Al Hamadi,Ipswich Town,FW,22,0,0,0.4,0.1,21.707999999999995,EUR 21.7M
Alisson,Liverpool,GK,31,0,0,0.0,0.6,5.8850999999999996,EUR 5.9M
