Player,Team,Transfer_Value_2024_25
Aaron Cresswell,West Ham,€0.6M
Aaron Ramsdale,Southampton,€18.6M
Aaron Wan-Bissaka,West Ham,€24.00m
Abdoulaye Doucouré,Everton,€7.00m
Abdukodir Khusanov,Manchester City,€35.00m
Abdul Fatawu Issahaku,Leicester City,€21.3M
Adam Armstrong,Southampton,€10.1M
Adam Lallana,Southampton,-
Adam Smith,Bournemouth,€0.9M
Adam Webster,Brighton,€6.4M
Adam Wharton,Crystal Palace,€62.1M
Adama Traoré,Fulham,
Albert Grønbaek,Southampton,€9.50m
Alejandro Garnacho,Manchester Utd,€45.00m
Alex Iwobi,Fulham,€34.1M
Alex McCarthy,Southampton,€0.3M
Alex Palmer,Ipswich Town,€1.2M
Alex Scott,Bournemouth,
Alexander Isak,Newcastle Utd,€132.1M
Alexis Mac Allister,Liverpool,€117M
Ali Al Hamadi,Ipswich Town,€2.50m
Alisson,Liverpool,
Alphonse Areola,West Ham,€8.8M
Altay Bayındır,Manchester Utd,€8.00m
Amad Diallo,Manchester Utd,
Amadou Onana,Aston Villa,€48.7M
Andreas Pereira,Fulham,€17.8M
Andrew Robertson,Liverpool,€14M
André,Wolves,-
André Onana,Manchester Utd,
Andrés García,Aston Villa,
Andy Irving,West Ham,€85M
Anthony Elanga,Nott'ham Forest,€53.4M
Anthony Gordon,Newcastle Utd,€47.2M
Antoine Semenyo,Bournemouth,€51.1M
Antonee Robinson,Fulham,
Antony,Manchester Utd,€85M
Antonín Kinský,Tottenham,
Archie Gray,Tottenham,€52.8M
Arijanet Muric,Ipswich Town,€4.9M
Armando Broja,Everton,€16.7M
Armel Bella Kotchap,Southampton,€7.50m
Ashley Young,Everton,€0.6M
Axel Disasi,Chelsea,
Axel Tuanzebe,Ipswich Town,€3.6M
Ayden Heaven,Manchester Utd,€15.7M
Bart Verbruggen,Brighton,€47.2M
Ben Brereton,Southampton,€8.3M
Ben Chilwell,Crystal Palace,€13.5M
Ben Davies,Tottenham,€3.9M
Ben Godfrey,Ipswich Town,€2.2M
Ben Johnson,Ipswich Town,€8.00m
Ben Mee,Brentford,
Ben White,Arsenal,€38.00m
Benoît Badiashile,Chelsea,
Bernardo Silva,Manchester City,€29.4M
Bernd Leno,Fulham,€13.5M
Beto,Everton,-
Bilal El Khannouss,Leicester City,
Billy Gilmour,Brighton,€23.2M
Bobby De Cordova-Reid,Leicester City,€85M
Boubacar Kamara,Aston Villa,
Boubakary Soumaré,Leicester City,
Brajan Gruda,Brighton,€38.7M
Brennan Johnson,Tottenham,€49.4M
Bruno Fernandes,Manchester Utd,€35.7M
Bruno Guimarães,Newcastle Utd,
Bryan Mbeumo,Brentford,€64.9M
Bukayo Saka,Arsenal,€97.5M
Caleb Okoli,Leicester City,
Callum Hudson-Odoi,Nott'ham Forest,€30.00m
Callum Wilson,Newcastle Utd,€5.5M
Calvin Bassey,Fulham,
Cameron Archer,Southampton,€15.4M
Cameron Burgess,Ipswich Town,€1.6M
Caoimhín Kelleher,Liverpool,€85M
Carlos Alcaraz,Everton,€15.00m
Carlos Baleba,Brighton,
Carlos Forbs,Wolves,€12.4M
Carlos Soler,West Ham,€12.7M
Casemiro,Manchester Utd,
Charlie Taylor,Southampton,€1.2M
Cheick Doucouré,Crystal Palace,€20.00m
Chidozie Obi-Martin,Manchester Utd,€5.00m
Chiedozie Ogbene,Ipswich Town,€6.1M
Chris Richards,Crystal Palace,€15.8M
Chris Wood,Nott'ham Forest,
Christian Eriksen,Manchester Utd,€1.9M
Christian Nørgaard,Brentford,€11.00m
Christian Walton,Ipswich Town,€0.6M
Christopher Nkunku,Chelsea,€36.1M
Cody Gakpo,Liverpool,€73.8M
Cole Palmer,Chelsea,€111M
Conor Bradley,Liverpool,
Conor Chaplin,Ipswich Town,€2.3M
Conor Coady,Leicester City,€1.5M
Conor Townsend,Ipswich Town,€0.3M
Craig Dawson,Wolves,€0.5M
Cristian Romero,Tottenham,€55.00m
Crysencio Summerville,West Ham,€26M
Curtis Jones,Liverpool,€45.00m
Daichi Kamada,Crystal Palace,€11.3M
Dan Burn,Newcastle Utd,€5.1M
Dango Ouattara,Bournemouth,
Daniel Bentley,Wolves,€1.2M
Daniel Jebbison,Bournemouth,€5.5M
Daniel Muñoz,Crystal Palace,
Danilo,Nott'ham Forest,
Danny Ings,West Ham,€5.00m
Danny Ward,Leicester City,€0.2M
Danny Welbeck,Brighton,€4.2M
Dara O'Shea,Ipswich Town,€15.00m
Darwin Núñez,Liverpool,
David Brooks,Bournemouth,€14.3M
David Raya,Arsenal,€40.00m
Dean Henderson,Crystal Palace,€28.7M
Dean Huijsen,Bournemouth,€74.9M
Declan Rice,Arsenal,€114.8M
Dejan Kulusevski,Tottenham,€57.7M
Destiny Udogie,Tottenham,€40.00m
Diego Carlos,Aston Villa,€7.2M
Diego Gómez,Brighton,€20.00m
Diogo Dalot,Manchester Utd,
Diogo Jota,Liverpool,€49.8M
Djed Spence,Tottenham,€37.7M
Dominic Calvert-Lewin,Everton,
